тип	уровень	фраза	наш перевод	переводы Wiktionary	сверка перевода	буквально	наше определение	определение Wiktionary	сверка определения	пример	перевод примера	пример подтверждён	замечания
phrasal	A1	get up	вставать, подниматься	подниматься; подняться; вставать; встать	совпал	взять вверх	to rise from bed	To move in an upward direction; to ascend or climb.	РАЗОШЁЛСЯ	Hey, get up.	Эй, вставай.	да	определение Wiktionary про другое значение: To move in an upward direction; to ascend or climb.
phrasal	A1	sit down	садиться	садиться; сесть	совпал	сидеть вниз	to take a seat	To assume a sitting position from a standing position.	РАЗОШЁЛСЯ	Sit down.	Садитесь, пожалуйста.	да	определение Wiktionary про другое значение: To assume a sitting position from a standing position.
phrasal	A1	stand up	вставать на ноги	вставать; встать; динамить	совпал	стоять вверх	to rise to your feet	To rise from a lying or sitting position.	совпал	Just stand up.	Просто встань.	да	
phrasal	A1	wake up	просыпаться, будить	просыпаться; пробуждаться; проснуться; пробудиться; будить	совпал	проснуться вверх	to stop sleeping	To stop sleeping; to awake.	совпал	Wake up, dear.	Просыпайся, дорогой.	да	
phrasal	A1	come in	входить	вступать; вступить	РАЗОШЁЛСЯ	прийти внутрь	to enter a room	To arrive.	РАЗОШЁЛСЯ	Come in.	Входите, пожалуйста.	да	определение Wiktionary про другое значение: To arrive.; перевод расходится с Wiktionary: вступать; вступить
phrasal	A1	go out	выходить, гулять	выходить; выйти; бывать в обществе; ходить аут; встречаться	совпал	идти наружу	to leave the house	To leave, especially a building.	совпал	I'm going out.	Я выхожу.	да	
phrasal	A1	come back	возвращаться	возвращаться; возвратиться; вернуться	совпал	прийти назад	to return to a place	To return to a place.	совпал	Come back in.	Возвращайся внутрь.	да	
phrasal	A1	go back	возвращаться	возвращаться; возвратиться; вернуться; быть знакомыми; брать начало	совпал	идти назад	to return to where you were	To return to a place or state after having been there at a previous time.	совпал	Go back in.	Возвращайся внутрь.	да	
phrasal	A1	put on	надевать	надевать; надеть; ставить; поставить	совпал	положить на	to dress yourself in something	To don (clothing, equipment, or the like).	РАЗОШЁЛСЯ	Put on a shirt.	Надень рубашку.	да	определение Wiktionary про другое значение: To don (clothing, equipment, or the like).
phrasal	A1	turn on	включать	открывать; включать; открыть; включить; включаться	совпал	повернуть на	to make a machine start working	To set a flow of fluid or gas running by rotating a tap or valve.	РАЗОШЁЛСЯ	Turn on the light.	Включи свет.	да	определение Wiktionary про другое значение: To set a flow of fluid or gas running by rotating a tap or valve.
