слово	уровень	ранг	часть речи	перевод(черновик)	варианты перевода	пример	перевод примера	определение	категория	чего не хватает
day	A1	101	Noun		period between sunrise and sunset → день/световой день; period of 24 hours → сутки/день; period from midnight to the following mi → сутки/день; rotational period of a planet → сутки/день; part of a day period which one spends at → день	Good day.	Здравствуй.	The time when the Sun is above the horizon and it lights the sky.	time	перевод не привязывается к значению — риск взять чужое
till	A2	1446	Noun	касса		Wait till six.	Подожди до шести.	A cash register.		многозначное слово, подтвердить перевод нечем (5 разных этимологий); категория не определилась (не определилась)
conclusion	B2	4182	Noun	окончание	завершение	Draw a conclusion.	Сделай вывод.	The end, finish, close or last part of something.		перевод примера относится к другому значению; категория не определилась (не определилась)
garret	C2	31747	Noun	чердак	мансарда			An attic or semi-finished room just beneath the roof of a house.	home	пример: нет предложений в Tatoeba
please	A1	102	Verb	радовать	угождать; нравиться; доставлять удовольствие	Please join.	Подойди-ка!	To make happy or satisfy; to give pleasure to.	actions	многозначное слово, подтвердить перевод нечем (3 разных этимологий)
burn	B1	2278	Noun	ожог		Burn it.	Сожги его.	A physical injury caused by heat, cold, electricity, radiation or caustic chemicals.	health	многозначное слово, подтвердить перевод нечем (2 разных этимологий)
engagement	B2	4183	Noun	ангажемент		The lecturer has three speaking engagements this week.		An appointment, especially to speak or perform.		пример: не для детей (в переводе): рак; категория не определилась (не определилась)
work	A1	103	Noun	работа	труд	My work involves a lot of travel.		Employment. Labour, occupation, job.	people	пример: не для детей (в переводе): раб; многозначное слово, подтвердить перевод нечем (2 разных этимологий)
regular	A2	1449	Adjective		having a constant pattern → регулярный; of a polygon: having all sides and corre → правильный; of a polyhedron: whose faces are all con → правильный; demonstrating consistent set of rules → правильный; happening at constant intervals → регулярный/частый/постоянный	He's a regular.	Он завсегдатай.	Bound by religious rule; belonging to a monastic or religious order (often as opposed to secular).	qualities	перевод не привязывается к значению — риск взять чужое
twelve	B2	4188	Noun	двенадцать				NATO, ICAO, ITU & IMO radiotelephony code for 12, used only with o'clock to indicate direction.		перевод есть только для другой части речи (Numeral вместо Noun); пример: не для детей (в переводе): ад; категория не определилась (не определилась)
need	A1	104	Noun	нужда	потребность; необходимость; потреба	They need us.	Мы им нужны.	A requirement for something; something needed.		многозначное слово, подтвердить перевод нечем (2 разных этимологий); категория не определилась (не определилась)
use	A1	105	Noun	употребление	применение; использование	Use them.	Используй их.	The act of using.	actions	многозначное слово, подтвердить перевод нечем (2 разных этимологий)
wild	A2	1454	Adjective	дикий		This is wild.	Это безумие.	Untamed; not domesticated.	qualities	многозначное слово, подтвердить перевод нечем (2 разных этимологий; части речи: Adjective/Adverb/Noun/Verb)
tip	B1	2285	Noun	кончик	остриё; наконечник	Tom left a tip.	Том оставил чаевые.	The extreme end of something, especially when pointed; e.g. the sharp end of a pencil.		пример иллюстрирует другое значение (6 разных этимологий); категория не определилась (не определилась)
moloch	C2	31753	Noun					Any of species Moloch horridus of Australian lizards, sole species of the genus Moloch.	animals	нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba
name	A1	107	Noun	имя	название; наименование	Say her name.	Скажи, как её зовут.	Any nounal word or phrase which indicates a particular person, place, class, or thing.		многозначное слово, подтвердить перевод нечем (3 разных этимологий); категория не определилась (не определилась)
reservation	B2	4195	Noun	оставление	сохранение	Reservations are essential.	Бронирование обязательно.	The act of reserving, withholding or keeping back.	actions	перевод примера относится к другому значению
think	A1	108	Verb	обдумывать	размышлять; обдумать; размыслить	I think.	Я думаю.	To ponder, to go over in one's mind.	mind	многозначное слово, подтвердить перевод нечем (2 разных этимологий)
lawyer	A2	1456	Noun	юрист	юристка; адвокат			A professional person with a graduate law degree that qualifies for legal work (such as Juris Doctor).	society	пример: не для детей (в переводе): ад
homework	B2	4197	Noun		work that is done at home → домашнее задание/домашняя работа/домашка; preliminary or preparatory work → подготовительная работа/исследование	I have homework.	У меня уроки.	Exercises assigned by a teacher to a student which review concepts studied in class.	school	перевод не привязывается к значению — риск взять чужое
monetary	C1	11826	Adjective	денежный	валютный	Although of little monetary value, Rosie treasured her late grandfather's old hunting gear.		Of, pertaining to, or consisting of money.	money	пример: длина английского предложения
paedophile	C2	31755	Noun					Commonwealth standard spelling of pedophile.		нет русского перевода в Wiktionary; пример: длина английского предложения; категория не определилась (не определилась)
free	A1	110	Adjective	свободный		Free me.	Освободи меня.	Unconstrained.	qualities	многозначное слово, подтвердить перевод нечем (4 разных этимологий; части речи: Adjective/Adverb/Verb/Noun)
football	A2	1457	Noun	футбольный мяч		He plays football.	Он играет в футбол.	A sport played on foot in which teams attempt to get a ball into a goal or zone defended by the other team.	sports	перевод примера относится к другому значению
photograph	B2	4199	Noun	фотография	фото; фотокарточка; снимок			A picture created by projecting an image onto a photosensitive surface such as a chemically treated plate or film, CCD receptor, etc.	art	пример: Tatoeba недоступна (offline: нет в кэше)
physical	A2	1459	Adjective		having to do with the material world; ta → физический/материальный; having to do with physics → физический; having to do with the body; corporeal → телесный/физический; involving bodily force; vigorous → физический	We have physical education.	У нас урок физкультуры.	Of medicine. Pertaining to the field of medicine; medical. That practises medicine; pertaining to doctors.	health	перевод не привязывается к значению — риск взять чужое
